Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for trophoblast cell; Donor: ENCDO000AAW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0000351/	ENCSR179CDH	jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR179CDH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for trophoblast cell; Donor: ENCDO333OMW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000351/	ENCSR121ZSL	jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR121ZSL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for trophoblast cell; Donor: ENCDO960IHW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000351/	ENCSR593LTJ	jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR593LTJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for trophoblast cell; Donor: ENCDO623MQT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000351/	ENCSR809LCE	jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR809LCE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for trophoblast cell; Donor: ENCDO671XTD	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000351/	ENCSR964MZQ	jesse-engreitz:encode_re2g_predictions_trophoblast_cell_ENCSR964MZQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for skeletal muscle myoblast; Donor: ENCDO094AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000515/	ENCSR000EOO	jesse-engreitz:encode_re2g_predictions_skeletal_muscle_myoblast_ENCSR000EOO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO174AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR000EIG	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR000EIG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO334AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR000EQC	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR000EQC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO285AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR000EQD	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR000EQD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO286AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR000EQE	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR000EQE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO100JZM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR035SZE	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR035SZE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO739OLY	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR058ELM	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR058ELM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR260UJJ	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR260UJJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR384GGJ	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR384GGJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 1 cell; Donor: ENCDO786GVO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000545/	ENCSR453RFW	jesse-engreitz:encode_re2g_predictions_T-helper_1_cell_ENCSR453RFW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO374BBL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR223XND	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR223XND	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO287AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR000EQG	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR000EQG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO288AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR000EQH	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR000EQH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO289AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR000EQI	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR000EQI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO786GVO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR197ZNW	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR197ZNW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR655LUX	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR655LUX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR869JYO	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR869JYO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO739OLY	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR872IXQ	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR872IXQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 2 cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000546/	ENCSR943KMD	jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR943KMD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO311UBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR409ZBD	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR409ZBD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO911LCI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR794TLA	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR794TLA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO911LCI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR407WGG	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR407WGG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO190HXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR704HNG	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR704HNG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR718AAB	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR718AAB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO579CCQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR723JLG	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR723JLG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for natural killer cell; Donor: ENCDO195VEA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000623/	ENCSR975LGK	jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR975LGK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR425MRQ	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR425MRQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO190HXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR569ATD	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR569ATD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO134JGU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR111WTE	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR111WTE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR941MHZ	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR941MHZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO134JGU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR336QAO	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR336QAO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR314IOV	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR314IOV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO134JGU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR566XSD	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR566XSD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR940UEK	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR940UEK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR642BXP	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR642BXP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO134JGU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR363LUK	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR363LUK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR152FWD	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR152FWD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR388NOI	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR388NOI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO514TDF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR408GYQ	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR408GYQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR324OTS	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR324OTS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR424MWH	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR424MWH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO134JGU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR250GDW	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR250GDW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR483PGP	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR483PGP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO222BBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR635VQU	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR635VQU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO514TDF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR452RAX	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR452RAX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO514TDF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR883WDW	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR883WDW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR036ELY	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR036ELY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR060ZXQ	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR060ZXQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR126EVX	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR126EVX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR129GCL	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR129GCL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR134BSY	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR134BSY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR155NBS	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR155NBS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR163QXS	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR163QXS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR167JFX	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR167JFX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR206KJN	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR206KJN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR240TZG	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR240TZG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR289GZQ	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR289GZQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR346GIP	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR346GIP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR366KPR	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR366KPR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO394DKX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR376DAE	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR376DAE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR389BWT	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR389BWT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD4-positive, alpha-beta T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0000624/	ENCSR498FCF	jesse-engreitz:encode_re2g_predictions_CD4-positive__alpha-beta_T_cell_ENCSR498FCF	encode:re2g_modelV2.0.0	
